recipe_url,name,time,difficulty,ingredients
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-root-veg/,Air-fryer root veg,"45 minutes (10 minutes prep, 35 minutes cook)                                                    ","Super easy                                                    
","['640 g root veg , such as carrot, butternut squash, parsnip, swede', 'olive oil', '4 cloves of garlic', '2 sprigs of fresh rosemary', 'red wine vinegar']"
https://www.jamieoliver.com/recipes/fish-recipes/quick-salt-cod/,Quick salt cod,30 minutes                                                    ,"Not too tricky                                                    
","['2 x 150 g cod fillets , skin on, scaled, pin-boned, from sustainable sources', '500 g Maris Piper potatoes', '2 large free-range eggs', '½ a bunch of flat-leaf parsley , (15g)', '2 teaspoons black olive tapenade']"
https://www.jamieoliver.com/recipes/pasta-recipes/tunisian-prawn-spaghetti/,Tunisian prawn spaghetti,22 minutes                                                    ,"Not too tricky                                                    
","['150 g dried spaghetti', '8 large raw shell-on king prawns , from sustainable sources', '2 teaspoons rose harissa', '½ a bunch of flat-leaf parsley , (15g)', '1 lemon']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-tender-aubergine/,Smoky tender aubergine,22 minutes                                                    ,"Not too tricky                                                    
","['2 aubergines', '50 g sesame seeds', '½ x 700 g jar or 1 x 400g tin of chickpeas', '2 lemons', '200 g radishes , ideally with leaves']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-lentil-and-broccoli-stem-tacos/,Smoky lentil and broccoli stem tacos,"35 minutes (20 MINUTES PREP, 10-15 MINUTES COOK)                                                    ","Not too tricky                                                    
","['2 tbsp olive oil', '½ red onion , thinly sliced', '1 large broccoli stem , grated', '1 x 400 g tin green lentils , drained and rinsed', '2 garlic cloves , finely chopped', '4 sundried tomatoes , roughly chopped', '1 tbsp tomato purée', '1 tbsp soy sauce , or tamari', '1 tsp smoked paprika', '1 tsp ground cumin', '1 tbsp nutritional yeast', '¼ tsp black pepper', 'Crisp cucumber salsa', '2 baby cucumbers , quartered lengthways, then thinly sliced', '½ red onion , finely chopped', '1 lime , zest and juice of', '2 tbsp freshly chopped mint', '2 tbsp freshly chopped coriander', '½ fresh red or green chilli , seeded, finely chopped', 'generous pinch of salt', '¼ tsp black pepper', 'To serve', '8–12 corn or flour tortillas , warmed', 'freshly chopped coriander and basil', 'lime wedges']"
https://www.jamieoliver.com/recipes/vegetable-recipes/sticky-aubergine-and-peanut-salad/,Sticky aubergine and peanut salad,"55 minutes (15 MINUTES PREP, 40 MINUTES COOK)                                                    ","Not too tricky                                                    
","['2 aubergines', '2 tbsp soy sauce or tamari', '2 tbsp maple syrup', '1 tbsp sriracha', '2 tbsp sesame oil', 'Sweet and spicy peanut sauce', '2 tbsp peanut butter , either smooth or crunchy', '1 tbsp sriracha', '1–2 limes , zest and juice of', '1 tbsp maple syrup', 'To serve', '50 g peanuts , roughly chopped', '4 tbsp chopped fresh coriander', '4 tbsp chopped fresh mint', '3 spring onions , thinly sliced', '1 red chilli , thinly sliced']"
https://www.jamieoliver.com/recipes/prawn-recipes/sea-mountain-skewers/,Sea & mountain skewers,45 minutes                                                    ,"Not too tricky                                                    
","['2 medium leeks', '8 large raw shell-on king prawns , from sustainable sources', '160 g mixed mushrooms', '40 g higher-welfare Pata Negra or quality Spanish ham', '1 x 700g jar of white beans']"
https://www.jamieoliver.com/recipes/prawn-recipes/crispy-prawn-parcels/,Crispy prawn parcels,45 minutes                                                    ,"Not too tricky                                                    
","['250 g strong bread flour', '400 g large raw peeled king prawns , from sustainable sources', '1 large free-range egg', '1 lemon', '2 tablespoons rose harissa']"
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/magnolia-blossom-pickle/,Magnolia blossom pickle,10 minutes plus pickling time                                                    ,"Not too tricky                                                    
","['100 g magnolia blossom leaves (roughly 6 heads)', '350 ml rice wine vinegar', '50 g golden caster sugar']"
https://www.jamieoliver.com/recipes/fruit-recipes/raw-vegan-flapjack-snacks/,Raw vegan flapjack snacks,30 minutes                                                    ,"Not too tricky                                                    
","['100 g unsalted pecans', '100 g unsalted hazelnuts', '20 g mixed seeds , such as linseeds, chia', '180 g Medjool dates', '100 g mixed dried berries , such as blueberries, cranberries, sour cherries', '200 g porridge oats', '2 tablespoons oil , (I like walnut oil)', '1-2 tablespoons maple syrup']"
