recipe_url,name,time,difficulty,ingredients
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-baked-potato-skins/,Air-fryer baked potato skins,1 hour                                                    ,"Super easy                                                    
","['160 g frozen leaf spinach', '2 baking potatoes , (250g each)', 'olive oil', '1 long red pepper', '60 g crumbly goat’s cheese', '2 heaped teaspoons pesto', 'Parmesan cheese , for grating (optional)']"
https://www.jamieoliver.com/recipes/fish-recipes/air-fryer-salmon-with-crispy-potatoes/,Air-fryer salmon with crispy potatoes,50 minutes                                                    ,"Not too tricky                                                    
","['400 g new potatoes', 'olive oil', '1 bunch of fresh thyme , (20g)', '2 x 150g salmon fillets , skin on, scaled, pin-boned, from sustainable sources', '200 g asparagus', '1 lemon']"
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-root-veg/,Air-fryer root veg,"45 minutes (10 minutes prep, 35 minutes cook)                                                    ","Super easy                                                    
","['640 g root veg , such as carrot, butternut squash, parsnip, swede', 'olive oil', '4 cloves of garlic', '2 sprigs of fresh rosemary', 'red wine vinegar']"
https://www.jamieoliver.com/recipes/fish-recipes/quick-salt-cod/,Quick salt cod,30 minutes                                                    ,"Not too tricky                                                    
","['2 x 150 g cod fillets , skin on, scaled, pin-boned, from sustainable sources', '500 g Maris Piper potatoes', '2 large free-range eggs', '½ a bunch of flat-leaf parsley , (15g)', '2 teaspoons black olive tapenade']"
https://www.jamieoliver.com/recipes/chicken-recipes/garlic-chicken/,Garlic chicken,18 minutes                                                    ,"Not too tricky                                                    
","['4 cloves of garlic', '2 x 150g skinless free-range chicken breasts', '½ x 700g jar of chickpeas', '250 g baby spinach', '1 heaped teaspoon sumac']"
https://www.jamieoliver.com/recipes/vegetable-recipes/rogue-ratatouille-risotto/,Rogue ratatouille risotto,35 minutes                                                    ,"Not too tricky                                                    
","['700 g frozen chargrilled Mediterranean veg', '300 g risotto rice', '1.2 litres organic chicken , or vegetable stock', '1 bunch of basil , (30g)', ""100 g goat's cheese""]"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-tender-aubergine/,Smoky tender aubergine,22 minutes                                                    ,"Not too tricky                                                    
","['2 aubergines', '50 g sesame seeds', '½ x 700 g jar or 1 x 400g tin of chickpeas', '2 lemons', '200 g radishes , ideally with leaves']"
https://www.jamieoliver.com/recipes/chocolate-recipes/jools-chocolate-dreams/,Jools' chocolate dreams,40 minutes plus cooling                                                    ,"Not too tricky                                                    
","['150 g dark chocolate , (70%)', '125 g unsalted butter', '50 ml good espresso', '2 large free-range eggs', '125 g golden caster sugar']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-chips/,Chicken & chips,1 hour 18 minutes                                                    ,"Not too tricky                                                    
","['1kg red-skinned potatoes', '2 onions', '1 bunch of oregano (20g)', '2 lemons', '4 x 250g free-range chicken legs']"
https://www.jamieoliver.com/recipes/lamb-recipes/5-ingredient-lamb-meatballs/,Lamb meatballs,25 minutes                                                    ,"Not too tricky                                                    
","['1 lemon', '1 x 200g tub of tzatziki', '1 bunch of mint (30g)', '½ x 460g jar of roasted red peppers', '400g higher-welfare minced lamb']"
https://www.jamieoliver.com/recipes/fruit-recipes/easy-fig-tart/,Easy fig tart,10 minutes plus freezing                                                    ,"Super easy                                                    
","['300 g luxury fruit and nut mix', '500 g Greek yoghurt', '1 teaspoon vanilla bean paste', '1 teaspoon runny honey , plus extra to serve', '4 perfectly ripe figs']"
https://www.jamieoliver.com/recipes/pork-recipes/pork-peppers/,Pork & peppers,40 minutes                                                    ,"Not too tricky                                                    
","['4 mixed-colour peppers (make sure you have 1 red pepper)', '1 x 280 g jar of artichoke hearts in oil', '3 cloves of garlic', '2 x 400 g higher-welfare thick pork chops , bone in, skin removed and reserved (ask your butcher)', '1 x 700 g jar of chickpeas']"
https://www.jamieoliver.com/recipes/steak-recipes/herby-steak-crispy-potatoes/,Herby steak & crispy potatoes,30 minutes                                                    ,"Not too tricky                                                    
","['500 g red-skinned potatoes', '1 x 300g higher-welfare sirloin steak', '4 teaspoons fresh green pesto , or pistou', '6 ripe medium mixed-colour tomatoes', '20 g shelled unsalted pistachios']"
https://www.jamieoliver.com/recipes/chicken-recipes/lemon-tzatziki-chicken/,Lemon-tzatziki chicken,2 hours plus marinating                                                    ,"Not too tricky                                                    
","['1 x 1.5kg whole free-range chicken', '2 x 200g tubs of tzatziki', '2 lemons', '4 mixed-colour onions', '300 g basmati rice']"
https://www.jamieoliver.com/recipes/prawn-recipes/sea-mountain-skewers/,Sea & mountain skewers,45 minutes                                                    ,"Not too tricky                                                    
","['2 medium leeks', '8 large raw shell-on king prawns , from sustainable sources', '160 g mixed mushrooms', '40 g higher-welfare Pata Negra or quality Spanish ham', '1 x 700g jar of white beans']"
https://www.jamieoliver.com/recipes/vegetable-recipes/wyre-forest-school-s-sweet-potato-pepper-chilli/,Wyre Forest School's Sweet potato & pepper chilli,1 hour                                                    ,"Not too tricky                                                    
","['olive oil', '1 medium onion', '1 green pepper', '½ teaspoon chilli powder', '1 tablespoon ground cumin', '2 teaspoons smoked paprika', '2 sweet potatoes (500g total)', '1 x 400g tin of chopped tomatoes', '1 x 400g tin of kidney beans', '2 teaspoons tomato purée', '1 teaspoon garlic purée']"
https://www.jamieoliver.com/recipes/ice-cream-recipes/no-churn-strawberry-ripple-ice-cream/,No-churn strawberry ripple ice cream,30 minutes plus freezing                                                    ,"Not too tricky                                                    
","['600 g strawberries , plus extra for serving', '100 g caster sugar', '600 ml double cream', '1 teaspoon vanilla paste or 1 vanilla pod', '1 x 397g tin of condensed milk', '50 g meringue nests']"
https://www.jamieoliver.com/recipes/vegetable-recipes/jersey-royal-traybake/,Jersey Royal traybake,55 minutes                                                    ,"Not too tricky                                                    
","['750 g Jersey Royals', 'olive oil', '8 spring onions', '1 bunch of asparagus , (180g)', '½ a bunch of fresh flat-leaf parsley , (15g)', '1 lemon', '100 g cottage cheese', '1 tablespoon creamed horseradish', 'extra virgin olive oil', '100 g watercress', '100 g smoked salmon , from sustainable sources']"
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/magnolia-blossom-pickle/,Magnolia blossom pickle,10 minutes plus pickling time                                                    ,"Not too tricky                                                    
","['100 g magnolia blossom leaves (roughly 6 heads)', '350 ml rice wine vinegar', '50 g golden caster sugar']"
https://www.jamieoliver.com/recipes/chicken-recipes/one-pan-spicy-chicken/,One-pan spicy chicken,50 minutes                                                    ,"Not too tricky                                                    
","['1 kg chicken thighs , skin on, bone in', '2 onions', '2 tablespoons tikka masala curry paste', '1 x 400 g tin of plum tomatoes', '1 mug of basmati rice (300g)', '500 g frozen peas', '1 x 400 g tin of light coconut milk']"
https://www.jamieoliver.com/recipes/fish-recipes/one-pan-kedgeree/,One-pan kedgeree,20 minutes                                                    ,"Not too tricky                                                    
","['2 onions', '1 red chilli', '1 x 240 g pack of kipper fillets', 'olive oil', '2 tablespoons hot curry powder', '2 x 250 g packets of cooked basmati rice', '160 g frozen peas', '1 lemon', '3 large eggs']"
https://www.jamieoliver.com/recipes/vegetable-recipes/meal-plan-sweet-potato-chilli/,Budget-friendly meal plan Sweet potato chilli,2 hours                                                    ,"Not too tricky                                                    
","['6 sweet potatoes , (250g each)', 'olive oil', '1 teaspoon cumin seeds', '1 x 95 g jar of chipotle chilli paste', '500 g fresh or frozen chopped mixed onion, carrot & celery', '½ a bunch of coriander , (15g)', '3 x 400 g tins of black beans', '3 x 400 g tins of plum tomatoes', '60 g feta cheese']"
https://www.jamieoliver.com/recipes/beef-recipes/meal-plan-50-50-bolognese/,Budget-friendly meal plan 50/50 Bolognese,2 hours 40 minutes                                                    ,"Not too tricky                                                    
","['½ a bunch of rosemary , (10g)', '6 rashers smoked pancetta , or smoked streaky bacon', 'olive oil', '750 g minced beef or pork', '8 cloves of garlic', '500 g fresh or frozen chopped mixed onion, carrot & celery', '5 tablespoons balsamic vinegar', '3 x 400 g tins of lentils', '4 x 400 g tins of plum tomatoes']"
https://www.jamieoliver.com/recipes/salmon-recipes/salmon-gravadlax/,Salmon gravadlax,30 minutes plus curing                                                    ,"Not too tricky                                                    
","['200 g raw beetroor', '100 g rock salt', '50 g demarara sugar', '50 ml vodka', '1 big bunch of fresh dill (60g)', '2 lemons', '50 g fresh or jarred grated horseradish', '1 x 1 kg side of salmon, skin on, scaled, pin-boned', '2 large cucumbers', 'red wine vinegar', '½ a fresh red chilli', '4 tablespoons Greek yoghurt', 'extra virgin olive oil']"
https://www.jamieoliver.com/recipes/mushroom-recipes/roasted-mushroom-salad/,Roasted mushroom salad,48 minutes                                                    ,"Not too tricky                                                    
","['8 small portobello mushrooms', '2 pears', '80 g blue cheese', '2 tablespoons shelled unsalted walnut halves', '1 lemon', '80 g radishes', '2 x 250g packets of cooked basmati & wild rice', '80 g bag of watercress, spinach & rocket']"
https://www.jamieoliver.com/recipes/chicken-recipes/cajun-chicken-traybake/,Cajun chicken traybake,"1 hour 7 minutes (Prep 7 minutes, Cook 1 hour)                                                    ","Not too tricky                                                    
","['2 red onions', '3 mixed-colour peppers', '4 chicken legs, skin on, bone-in', '1 tablespoon Cajun seasoning', '4 cloves of garlic', 'olive oil', 'red wine vinegar', '1 mug of basmati rice (300g)', '4 tablespoons natural yoghurt', 'optional: extra virgin olive oil']"
https://www.jamieoliver.com/recipes/vegetable-recipes/spinach-sweet-potato-chickpea-curry/,Sweet potato & chickpea curry,35 minutes                                                    ,"Not too tricky                                                    
","['160 g frozen leaf spinach', '½ a mug of basmati rice (150g)', '1 onion', '4 cm piece of ginger', '2 cloves of garlic', '2 tablespoons tomato purée', '1 heaped tablespoon curry powder', 'vegetable oil', '1 green chilli', '1 small sweet potato (200g)', '1 x 400g tin of chickpeas', '2 tablespoons natural yoghurt']"
